rank,id,object_type,RA,Dec,constellation,major_axis_deg,minor_axis_deg,mag_v,mag_b,mag_proxy,wikipedia_url,common_names,identifiers
641,NGC5907,G,15:15:53.77,+56:19:43.6,Dra,11.3,1.75,10.37,11.07,10.37,https://en.wikipedia.org/wiki/NGC_5907,,"2MASX J15155368+5619438,IRAS 15146+5629,MCG +09-25-040,PGC 054470,SDSS J151553.77+561943.5,SDSS J151553.77+561943.6,UGC 09801"
642,NGC1512,G,04:03:54.28,-43:20:55.9,Hor,8.43,4.02,10.37,11.1,10.37,https://en.wikipedia.org/wiki/NGC_1512,,"2MASS J04035419-4320552,2MASX J04035428-4320558,ESO 250-004,ESO-LV 250-0040,IRAS 04022-4329,MCG -07-09-007,PGC 014391"
643,NGC1617,G,04:31:39.53,-54:36:08.2,Dor,5.24,2.5,10.37,11.18,10.37,https://en.wikipedia.org/wiki/NGC_1617,,"2MASX J04313953-5436081,ESO 157-041,ESO-LV 157-0410,IRAS 04305-5442,PGC 015405"
644,NGC1340,G,03:28:19.67,-31:04:05.4,For,5.12,3.12,10.37,11.22,10.37,https://en.wikipedia.org/wiki/NGC_1340,,"2MASX J03281966-3104054,ESO 418-005,ESO-LV 418-0050,MCG -05-09-005,PGC 012923"
645,NGC3941,G,11:52:55.36,+36:59:10.8,UMa,3.51,2.33,10.37,11.28,10.37,https://en.wikipedia.org/wiki/NGC_3941,,"2MASX J11525536+3659109,MCG +06-26-051,PGC 037235,SDSS J115255.35+365910.7,UGC 06857"
646,NGC2613,G,08:33:22.84,-22:58:25.2,Pyx,7.62,1.79,10.38,11.11,10.38,https://en.wikipedia.org/wiki/NGC_2613,,"2MASX J08332284-2258252,ESO 495-018,ESO-LV 495-0180,IRAS 08311-2248,MCG -04-21-003,PGC 023997,UGCA 141"
647,NGC3198,G,10:19:54.95,+45:32:58.6,UMa,6.46,1.84,10.38,10.9,10.38,https://en.wikipedia.org/wiki/NGC_3198,,"2MASX J10195499+4532588,IRAS 10168+4548,MCG +08-19-020,PGC 030197,SDSS J101954.92+453259.0,SDSS J101954.92+453259.1,UGC 05572"
649,NGC2655,G,08:55:37.73,+78:13:23.1,Cam,3.93,2.06,10.39,10.98,10.39,https://en.wikipedia.org/wiki/NGC_2655,,"2MASX J08553773+7813230,IRAS 08491+7824,MCG +13-07-010,PGC 025069,UGC 04637"
654,NGC5247,G,13:38:03.04,-17:53:02.5,Vir,5.32,4.26,10.41,10.77,10.41,https://en.wikipedia.org/wiki/NGC_5247,,"2MASX J13380303-1753025,ESO 577-014,ESO-LV 577-0140,IRAS 13353-1737,MCG -03-35-011,PGC 048171,UGCA 368"
655,NGC3640,G,11:21:06.85,+03:14:05.4,Leo,4.33,3.81,10.41,11.34,10.41,https://en.wikipedia.org/wiki/NGC_3640,,"2MASX J11210685+0314051,MCG +01-29-033,PGC 034778,UGC 06368"
656,NGC3557,G,11:09:57.64,-37:32:21.0,Cen,4.36,3.43,10.42,11.41,10.42,https://en.wikipedia.org/wiki/NGC_3557,,"2MASX J11095583-3732345,2MASX J11095765-3732210,2MASX J11095773-3732216,ESO 377-016,ESO-LV 337-0160,ESO-LV 377-0160,MCG -06-25-005,PGC 033871"
657,NGC3631,G,11:21:02.87,+53:10:10.4,UMa,3.72,3.08,10.42,10.71,10.42,https://en.wikipedia.org/wiki/NGC_3631,,"2MASX J11210294+5310099,IRAS 11181+5326,MCG +09-19-047,PGC 034767,SDSS J112102.87+531010.4,UGC 06360"
658,NGC4274,G,12:19:50.59,+29:36:52.1,Com,3.63,1.7,10.42,11.32,10.42,https://en.wikipedia.org/wiki/NGC_4274,,"2MASX J12195066+2936529,IRAS 12173+2953,MCG +05-29-060,PGC 039724,SDSS J121950.59+293652.9,UGC 07377"
661,IC5267,G,22:57:13.57,-43:23:46.1,Gru,5.58,4.06,10.43,11.39,10.43,https://en.wikipedia.org/wiki/IC_5267,,"2MASX J22571357-4323461,ESO 290-029,ESO-LV 290-0290,IRAS 22543-4339,MCG -07-47-007,PGC 070094"
662,NGC0045,G,00:14:03.99,-23:10:55.5,Cet,6.18,4.44,10.44,11.39,10.44,https://en.wikipedia.org/wiki/NGC_45,,"2MASX J00140398-2310555,ESO 473-001,ESO-LV 473-0010,IRAS 00115-2327,MCG -04-01-021,PGC 000930,UGCA 004"
664,NGC1326,G,03:23:56.40,-36:27:52.8,For,4.28,2.93,10.45,11.4,10.45,https://en.wikipedia.org/wiki/NGC_1326,,"2MASX J03235639-3627527,ESO 357-026,ESO-LV 357-0260,IRAS 03220-3638,MCG -06-08-011,PGC 012709"
666,NGC5101,G,13:21:46.24,-27:25:49.9,Hya,5.9,5.52,10.46,11.57,10.46,https://en.wikipedia.org/wiki/NGC_5101,,"2MASX J13214624-2725498,ESO 508-058,ESO-LV 508-0580,IRAS 13190-2709,MCG -04-32-008,PGC 046661,UGCA 351"
668,NGC4596,G,12:39:55.95,+10:10:34.1,Vir,3.93,3.3,10.46,11.3,10.46,https://en.wikipedia.org/wiki/NGC_4596,,"2MASX J12395593+1010337,MCG +02-32-170,PGC 042401,SDSS J123955.94+101034.0,UGC 07828"
669,NGC4656 NED01,G,12:43:57.67,+32:10:12.9,CVn,6.46,0.66,10.47,9.82,10.47,https://en.wikipedia.org/wiki/NGC4656_NED01,,"2MASX J12435764+3210130,IRAS 12415+3226,MCG +05-30-066 NED01,PGC 042863,UGC 07907 NED01"
670,NGC7217,G,22:07:52.39,+31:21:33.6,Peg,4.52,3.84,10.47,11.03,10.47,https://en.wikipedia.org/wiki/NGC_7217,,"2MASX J22075236+3121333,IRAS 22056+3106,MCG +05-52-001,PGC 068096,UGC 11914"
671,NGC1947,G,05:26:47.61,-63:45:36.1,Dor,3.48,3.18,10.47,11.65,10.47,https://en.wikipedia.org/wiki/NGC_1947,,"2MASX J05264761-6345360,ESO 085-087,ESO-LV 85-0870,IRAS 05264-6347,PGC 017296"
672,NGC4517,G,12:32:45.59,+00:06:54.1,Vir,9.02,1.42,10.48,11.19,10.48,https://en.wikipedia.org/wiki/NGC_4517,,"2MASX J12324558+0006541,IRAS 12301+0023,MCG +00-32-020,PGC 041618,SDSS J123244.76+000655.1,UGC 07694"
673,NGC4536,G,12:34:27.05,+02:11:17.3,Vir,7.08,2.55,10.48,11.07,10.48,https://en.wikipedia.org/wiki/NGC_4536,,"2MASS J12342707+0211174,2MASX J12342712+0211163,IRAS 12318+0227,MCG +00-32-023,PGC 041823,SDSS J123427.04+021117.2,UGC 07732"
674,NGC4754,G,12:52:17.50,+11:18:50.0,Vir,4.16,1.95,10.48,11.4,10.48,https://en.wikipedia.org/wiki/NGC_4754,,"2MASX J12521756+1118491,MCG +02-33-030,PGC 043656,SDSS J125217.49+111849.9,UGC 08010"
676,NGC5084,G,13:20:16.92,-21:49:39.3,Vir,9.93,2.46,10.49,11.6,10.49,https://en.wikipedia.org/wiki/NGC_5084,,"2MASX J13201692-2149392,ESO 576-033,ESO-LV 576-0330,MCG -04-32-004,PGC 046525"
678,NGC3726,G,11:33:21.12,+47:01:45.1,UMa,5.27,3.54,10.49,10.66,10.49,https://en.wikipedia.org/wiki/NGC_3726,,"2MASX J11332117+4701447,IRAS 11306+4718,MCG +08-21-051,PGC 035676,SDSS J113321.12+470145.1,UGC 06537"
679,NGC4654,G,12:43:56.58,+13:07:36.0,Vir,4.72,2.49,10.49,11.09,10.49,https://en.wikipedia.org/wiki/NGC_4654,,"2MASX J12435663+1307348,IRAS 12414+1324,MCG +02-33-004,PGC 042857,SDSS J124356.57+130736.0,SDSS J124356.58+130736.0,UGC 07902"
680,NGC5206,G,13:33:43.98,-48:09:04.2,Cen,4.26,2.81,10.49,11.93,10.49,https://en.wikipedia.org/wiki/NGC_5206,,"2MASX J13334398-4809044,ESO 220-018,ESO-LV 220-0180,PGC 047762"
681,NGC4527,G,12:34:08.42,+02:39:13.2,Vir,6.3,1.72,10.5,11.33,10.5,https://en.wikipedia.org/wiki/NGC_4527,,"2MASX J12340849+0239137,IRAS 12315+0255,MCG +01-32-101,PGC 041789,SDSS J123408.44+023913.7,UGC 07721"
683,NGC4664,G,12:45:05.99,+03:03:20.8,Vir,4.52,4.52,10.5,11.12,10.5,https://en.wikipedia.org/wiki/NGC_4664,,"2MASX J12450595+0303204,MCG +01-33-005,PGC 042970,SDSS J124505.99+030320.7,UGC 07924"
684,NGC6684,G,18:48:57.88,-65:10:24.4,Pav,4.19,2.96,10.5,11.31,10.5,https://en.wikipedia.org/wiki/NGC_6684,,"2MASX J18485789-6510244,ESO 104-016,ESO-LV 104-0160,PGC 062453"
693,NGC5566,G,14:20:19.89,+03:56:01.5,Vir,5.36,2.08,10.51,11.42,10.51,https://en.wikipedia.org/wiki/NGC_5566,,"2MASX J14201994+0356009,IRAS 14178+0409,MCG +01-37-002,PGC 051233,SDSS J142019.88+035601.4,UGC 09175"
694,IC4296,G,13:36:39.03,-33:57:57.0,Cen,4.62,2.43,10.51,11.57,10.51,https://en.wikipedia.org/wiki/IC_4296,,"2MASX J13363905-3357572,ESO 383-039,ESO-LV 383-0390,MCG -06-30-016,PGC 048040"
695,NGC4030,G,12:00:23.63,-01:06:00.3,Vir,3.78,2.65,10.51,11.15,10.51,https://en.wikipedia.org/wiki/NGC_4030,,"2MASX J12002364-0105598,IRAS 11578-0049,MCG +00-31-016,PGC 037845,SDSS J120023.33-010559.3,SDSS J120023.62-010600.2,SDSS J120023.62-010600.3,UGC 06993"
696,NGC2985,G,09:50:22.23,+72:16:43.1,UMa,3.61,2.92,10.51,11.21,10.51,https://en.wikipedia.org/wiki/NGC_2985,,"2MASX J09502223+7216431,IRAS 09459+7230,MCG +12-10-006,PGC 028316,UGC 05253"
697,NGC1300,G,03:19:41.08,-19:24:40.9,Eri,5.96,3.06,10.52,11.21,10.52,https://en.wikipedia.org/wiki/NGC_1300,,"2MASX J03194107-1924408,ESO 547-031,ESO-LV 547-0310,IRAS 03174-1935,MCG -03-09-018,PGC 012412,UGCA 066"
698,NGC5364,G,13:56:12.00,+05:00:52.1,Vir,3.8,1.66,10.52,11.19,10.52,https://en.wikipedia.org/wiki/NGC_5364,,"2MASX J13561200+0500520,IRAS 13536+0515,MCG +01-36-003,PGC 049555,UGC 08853"
699,NGC5813,G,15:01:11.23,+01:42:07.1,Vir,4.13,2.7,10.53,11.52,10.53,https://en.wikipedia.org/wiki/NGC_5813,,"2MASX J15011126+0142070,MCG +00-38-016,PGC 053643,SDSS J150111.23+014207.1,UGC 09655"
700,NGC3412,G,10:50:53.28,+13:24:43.7,Leo,3.96,2.17,10.53,11.44,10.53,https://en.wikipedia.org/wiki/NGC_3412,,"2MASX J10505331+1324437,MCG +02-28-016,PGC 032508,SDSS J105053.27+132443.6,UGC 05952"
701,NGC3109,G,10:03:06.88,-26:09:34.5,Hya,16.0,2.74,10.54,10.39,10.54,https://en.wikipedia.org/wiki/NGC_3109,,"2MASX J10030687-2609344,ESO 499-036,ESO-LV 499-0360,MCG -04-24-013,PGC 029128,UGCA 194"
702,NGC6221,G,16:52:46.08,-59:13:07.0,Ara,4.84,3.15,10.54,10.73,10.54,https://en.wikipedia.org/wiki/NGC_6221,,"2MASX J16524632-5913009,ESO 138-003,ESO-LV 138-0030,IRAS 16484-5908,PGC 059175"
703,IC1459,G,22:57:10.61,-36:27:44.0,Gru,4.61,3.23,10.54,10.94,10.54,https://en.wikipedia.org/wiki/IC_1459,,"2MASX J22571068-3627449,ESO 406-030,ESO-LV 406-0300,IRAS 22544-3643,MCG -06-50-016,PGC 070090"
704,NGC5746,G,14:44:55.92,+01:57:18.0,Vir,7.24,1.08,10.55,11.34,10.55,https://en.wikipedia.org/wiki/NGC_5746,,"2MASX J14445600+0157170,IRAS 14424+0209,MCG +00-38-005,PGC 052665,SDSS J144455.91+015717.8,SDSS J144455.91+015718.0,UGC 09499"
705,NGC3359,G,10:46:36.86,+63:13:27.2,UMa,4.07,2.83,10.55,11.07,10.55,https://en.wikipedia.org/wiki/NGC_3359,,"2MASX J10463684+6313251,IRAS 10433+6329,MCG +11-13-037,PGC 032183,SDSS J104636.85+631327.2,SDSS J104636.86+631327.2,UGC 05873"
706,NGC7049,G,21:19:00.30,-48:33:43.8,Ind,3.94,2.69,10.55,11.67,10.55,https://en.wikipedia.org/wiki/NGC_7049,,"2MASX J21190024-4833432,ESO 236-001,ESO-LV 236-0010,IRAS 21156-4846,PGC 066549"
707,NGC0404,G,01:09:27.02,+35:43:05.3,And,3.4,3.37,10.55,11.19,10.55,https://en.wikipedia.org/wiki/NGC_404,,"IRAS 01066+3527,MCG +06-03-018,PGC 004126,UGC 00718"
708,NGC3486,G,11:00:23.87,+28:58:30.5,LMi,5.82,4.12,10.57,11.07,10.57,https://en.wikipedia.org/wiki/NGC_3486,,"2MASX J11002394+2858293,IRAS 10576+2914,MCG +05-26-032,PGC 033166,SDSS J110023.86+285830.4,UGC 06079"
709,NGC4096,G,12:06:01.13,+47:28:42.4,UMa,5.65,1.43,10.57,11.1,10.57,https://en.wikipedia.org/wiki/NGC_4096,,"2MASX J12060116+4728420,IRAS 12034+4745,MCG +08-22-067,PGC 038361,SDSS J120601.13+472842.3,SDSS J120601.13+472842.4,UGC 07090"
710,NGC2217,G,06:21:39.78,-27:14:01.5,CMa,4.63,4.12,10.57,11.63,10.57,https://en.wikipedia.org/wiki/NGC_2217,,"2MASX J06213977-2714014,ESO 489-042,ESO-LV 489-0420,IRAS 06196-2712,MCG -05-15-010,PGC 018883"
